Purpose Code, Correct, Guess
RENTAL VAN, Travel, polling
PER DIEM, Administrative, media
LODGING, Travel, media
GAS, Travel, administrative
MILEAGE, Travel, polling
IN KIND STAFF, Administrative, polling
VOTER CONTACT MAIL, Field, fundraising
INKIND STAFF, Administrative, polling
PAYROLL, Administrative, fundraising
ONLINE ADVERTISING, Digital, media
WALK PACKETS, Field, polling
FLIERS, Media, polling
TRAVEL, Travel, administrative
STAFF TIME, Administrative, polling
INKIND STAFF TRAVEL, Travel, administrative
CANVASSER, Field, polling
RENTAL CAR, Travel, media
MAILING, Field, polling
PHONE BANKING, Field, administrative
PHONE BANK, Field, administrative
INTERNET ADVERTISING, Digital, media
OFFICE SUPPLIES, Administrative, polling
MAIL SERVICES, Administrative, fundraising
MAILHOUSE, Field, media
CANVASSERS, Field, polling
MAILER, Administrative, polling
CAR RENTAL, Travel, media
VIDEO PRODUCTION, Media, polling
DISTRIBUTION OF LITERATURE, Field, polling
BOOTH RENTAL, Field, polling
HOTEL, Travel, media
VAN RENTAL, Travel, polling
WAGES, Administrative, polling
ONLINE ADVERTISING - ESTIMATE, Digital, media
DIGITAL ADVERTISING, Digital, media
DOOR HANGERS, Field, media
POSTCARDS, Administrative, polling
TV/MEDIA PRODUCTION, Media, polling
LITERATURE, Field, fundraising
DIGITAL ADVERTISING - FACEBOOK, Digital, media
TRAVEL EXPENSES, Travel, administrative
VOTER MAIL, Field, fundraising
TV/MEDIA PLACEMENT, Media, polling
GRAPHIC ART DESIGN, Digital, media
FLIGHT, Travel, polling
