Purpose Code,Final Estimate
SALARY AND BENEFITS,Administrative
RENTAL VAN,Travel
PER DIEM,Administrative
LODGING,Travel
SALARY,Administrative
SALARY AND BENFITS,Administrative
GAS,Travel
MILEAGE,Travel
IN KIND STAFF,Administrative
MEDIA BUY,Media
MEDIA,Media
RENT,Administrative
MEDIA PRODUCTION,Media
PRINTING,Fundraising
VOTER CONTACT MAIL,Field
INKIND STAFF,Administrative
PAYROLL,Administrative
ONLINE ADVERTISING,Digital
CANVASSING,Field
VOTER CONTACT CALLS,Field
WALK PACKETS,Field
CANVASS PAYROLL,Field
DIRECT MAIL,Fundraising
MEDIA PLACEMENT,Media
PHONE CALLS,Administrative
TELEVISION ADVERTISING,Media
POSTAGE,Administrative
FLIERS,Media
TRAVEL,Travel
RADIO ADS,Media
STAFF TIME,Administrative
INKIND STAFF TRAVEL,Travel
CANVASSER,Field
RENTAL CAR,Travel
MAILING,Field
PHONE BANKING,Field
PHONE BANK,Field
INTERNET ADVERTISING,Digital
OFFICE SUPPLIES,Administrative
MAIL SERVICES,Administrative
ESTIMATED PAYMENT FOR SALARY AND BENEFITS FROM 10/16-11/6,Administrative
SURVEY RESEARCH,Polling
ADVERTISING,Media
TEMPORARY ADMIN STAFF FOR PHONE BANK (ESTIMATE),Administrative
MEDIA PRODUCTION COSTS - ESTIMATE,Media
TV AD PLACEMENT,Media
DIRECT MAIL - ESTIMATE,Fundraising
LIST RENTAL,Fundraising
MAILHOUSE,Field
CANVASSERS,Field
FOOD,Administrative
MAILER,Administrative
CAR RENTAL,Travel
VIDEO PRODUCTION,Media
RADIO AD PLACEMENT,Media
DISTRIBUTION OF LITERATURE,Field
BOOTH RENTAL,Field
HOTEL,Travel
MEDIA PLACEMENT/PRODUCTION,Media
CANVASSING EXPENSES,Field
VAN RENTAL,Travel
WAGES,Administrative
NEWSPAPER AD,Media
TELEVISION AD,Media
ONLINE ADVERTISING - ESTIMATE,Digital
MEALS,Administrative
DIGITAL ADVERTISING,Digital
AD PRODUCTION,Media
RADIO ADVERTISING,Media
FUNDRAISING PHONE CALLS (EST),Fundraising
STAFF SALARIES,Administrative
VOTER CANVASS LITERATURE,Field
MEDIA PRODUCTION COSTS,Media
DOOR HANGERS,Field
DIGITAL MEDIA PRODUCTION/PLACEMENT,Digital
TELEPHONE VOTER CONTACT,Field
CONSULTING SERVICES,Consulting
TV / MEDIA PLACEMENT,Media
POSTCARDS,Administrative
TV/MEDIA PRODUCTION,Media
CANVASSING SERVICES,Field
STAFF SALARY,Administrative
VOTER CONTACT,Field
INTERNET COMMUNICATIONS (FROM ADVANCE LINE 21),Digital
LITERATURE,Field
SALARY / BENEFITS,Administrative
MEDIA BUY - CANDIDATE SPECIFIC,Media
DIGITAL ADVERTISING - FACEBOOK,Digital
RADIO AD,Media
DIRECT MAIL SERVICES,Fundraising
AD PRODUCTION COSTS,Media
TV / MEDIA PRODUCTION,Media
TRAVEL EXPENSES,Travel
VOTER MAIL,Field
TV/MEDIA PLACEMENT,Media
TV ADVERTISING,Media
DIRECT MAIL - POSTAGE,Fundraising
TELEPHONE CALLS,Administrative
MEDIA PRODUCTION ESTIMATE,Media
GRAPHIC ART DESIGN,Digital
FLIGHT,Travel
PHONES,Administrative
