Purpose Code, Correct, Guess
SALARY AND BENEFITS, Administrative, administrative+field
RENTAL VAN, Travel, administrative
PER DIEM, Administrative, consulting+field
LODGING, Travel, misc
SALARY, Administrative, field+administrative
SALARY AND BENFITS, Administrative, administrative+field
GAS, Travel, administrative
MILEAGE, Travel, field
PRINTING, Fundraising, administrative
ONLINE ADVERTISING, Digital, media
PHONE CALLS, Administrative, administrative+field
POSTAGE, Administrative, fundraising+administrative
FLIERS, Media, fundraising
TRAVEL, Travel, polling
INKIND STAFF TRAVEL, Travel, administrative
RENTAL CAR, Travel, administrative
MAILING, Field, fundraising
PHONE BANKING, Field, polling
PHONE BANK, Field, administrative+polling
INTERNET ADVERTISING, Digital, media
MAIL SERVICES, Administrative, fundraising
SURVEY RESEARCH, Polling, consulting
LIST RENTAL, Fundraising, field
MAILHOUSE, Field, media
CAR RENTAL, Travel, administrative
DISTRIBUTION OF LITERATURE, Field, digital
BOOTH RENTAL, Field, administrative
HOTEL, Travel, administrative
VAN RENTAL, Travel, administrative
WAGES, Administrative, administrative+field
ONLINE ADVERTISING - ESTIMATE, Digital, media
FUNDRAISING PHONE CALLS (EST), Fundraising, administrative+field
DIGITAL MEDIA PRODUCTION/PLACEMENT, Digital, media
TELEPHONE VOTER CONTACT, Field, polling+field
STAFF SALARY, Administrative, administrative+field
INTERNET COMMUNICATIONS (FROM ADVANCE LINE 21), Digital, media
LITERATURE, Field, administrative
SALARY / BENEFITS, Administrative, administrative+field
TRAVEL EXPENSES, Travel, administrative
VOTER MAIL, Field, polling
TELEPHONE CALLS, Administrative, administrative+field
GRAPHIC ART DESIGN, Digital, media
FLIGHT, Travel, administrative
