Frequency of Total,Dollars In This PC,Purpose Code,Conner Estimate,Jamie Estimate,Final Estimate,Spider Estimate,Score,Score w/o PC,,
0.415436131,"$6,697,957.59",SALARY AND BENEFITS,Administrative,Administrative,Administrative,Administrative,1,1,Dollars in Top 1000 spots,
0.079251861,"$455,052.48",RENTAL VAN,Travel,Travel,Travel,Adminstrative,1,1,"$3,457,616,971.29",
0.043600545,"$167,532.88",PER DIEM,Administrative,Misc,Administrative,Consulting,0,0,,
0.039342924,"$411,139.07",LODGING,Travel,Travel,Travel,misc,0,0,Total Dollars,
0.032315344,"$1,094,015.20",SALARY,Administrative,Administrative,Administrative,Administrative,1,1,"$4,553,860,062.64",
0.030962924,"$700,022.27",SALARY AND BENFITS,Administrative,Administrative,Administrative,Administrative,1,1,,
0.027276325,"$117,085.94",GAS,Travel,Travel,Travel,Administrative,1,1,% Dollars Covered,(top 1000 spots)
0.024275954,"$174,708.52",MILEAGE,Travel,Travel,Travel,Field,0,0,0.759271678,
0.016053736,"$4,644,332.42",IN KIND STAFF,Administrative,Administrative,Administrative,Administrative,1,1,,
0.008830807,"$725,608,123.97",MEDIA BUY,Media,Media,Media,Digital+Media,0.5,0,,
0.008114525,"$346,023,431.83",MEDIA,Media,Media,Media,Media,1,1,,
0.007468368,"$71,305.96",RENT,Administrative,Administrative,Administrative,Administrative,1,1,,
0.006917382,"$24,524,071.35",MEDIA PRODUCTION,Media,Media,Media,Media,1,1,,
0.004866211,"$4,015,790.23",PRINTING,Fundraising,Field,Fundraising,Fundraising,1,1,,
0.004783563,"$6,711,139.68",VOTER CONTACT MAIL,Polling,Field,Field,Field,1,1,,
0.004465493,"$648,872.29",INKIND STAFF,Administrative,Administrative,Administrative,Administrative,1,1,,
0.004325242,"$455,389.02",PAYROLL,Administrative,Administrative,Administrative,Administrative,1,1,,
0.00424009,"$33,590,133.67",ONLINE ADVERTISING,Digital,Digital,Digital,Digital,1,1,,
0.003786778,"$9,692,705.84",CANVASSING,Field,Field,Field,Field,1,1,,
0.003774256,"$2,645,623.43",VOTER CONTACT CALLS,Field,Field,Field,Field,1,1,,
0.003138117,"$105,216.86",WALK PACKETS,Administrative,Field,Field,Administrative,0,0,,
0.003128099,"$284,497.79",CANVASS PAYROLL,Administrative,Field,Field,Field,1,1,,
0.003015398,"$35,142,368.60",DIRECT MAIL,Canvassing,Fundraising,Fundraising,Fundraising,1,1,,
0.002767454,"$310,371,139.77",MEDIA PLACEMENT,Media,Media,Media,Media,1,1,,
0.002607167,"$9,729,871.41",PHONE CALLS,Field,Administrative,Administrative,Administrative,1,1,,
0.002597149,"$149,865,853.38",TELEVISION ADVERTISING,Media,Media,Media,Media,1,1,,
0.002476934,"$9,793,276.85",POSTAGE,Administrative,Travel,Administrative,Administrative,1,1,,
0.002203945,"$841,518.07",FLIERS,Media,Field+Media,Media,Fundraising,0,0,,
0.002003586,"$294,071.55",TRAVEL,Travel,Travel,Travel,Administrative,1,1,,
0.001928452,"$5,436,255.03",RADIO ADS,Media,Media,Media,Media+Digital,1,1,,
0.001870849,"$496,556.57",STAFF TIME,Administrative,Administrative,Administrative,Administrative,1,1,,
0.0018433,"$101,341.56",INKIND STAFF TRAVEL,Travel,Administrative,Travel,Administrative,1,1,,
0.00167049,"$201,851.75",CANVASSER,Field,Field,Field,Field,1,1,,
0.001665481,"$44,373.16",RENTAL CAR,Travel,Travel,Travel,Administrative,1,1,,
0.001535248,"$6,960,546.00",MAILING,Polling,Field,Field,Digital,0,0,,
0.001527735,"$1,410,687.13",PHONE BANKING,Administrative,Polling,Field,Administrative,0,0,,
0.001450096,"$1,034,134.63",PHONE BANK,Administrative,Polling,Field,Administrative,0,0,,
0.001427555,"$9,952,840.55",INTERNET ADVERTISING,Digital,Digital,Digital,Digital+Media,1,1,,
0.001389988,"$71,687.70",OFFICE SUPPLIES,Administrative,Administrative,Administrative,Administrative,1,1,,
0.001372457,"$6,307,798.72",MAIL SERVICES,Administrative,Administrative,Administrative,Fundraising,0,0,,
0.001354925,"$172,463.51",ESTIMATED PAYMENT FOR SALARY AND BENEFITS FROM 10/16-11/6,Administrative,Administrative,Administrative,Administrative,1,1,,
0.001332385,"$7,949,351.18",SURVEY RESEARCH,Polling,Polling,Polling,Field,0,0,,
0.001289809,"$11,915,211.22",ADVERTISING,Media,Media+Digital,Media,Media+Digital,1,1,,
0.001272277,"$72,359.41",TEMPORARY ADMIN STAFF FOR PHONE BANK (ESTIMATE),Administrative,Administrative,Administrative,Administrative,1,1,,
0.00125725,"$5,902,454.13",MEDIA PRODUCTION COSTS - ESTIMATE,Media,Media,Media,Media,1,1,,
0.001179612,"$4,591,366.97",TV AD PLACEMENT,Media,Media,Media,Media,1,1,,
0.001147053,"$11,552,944.72",DIRECT MAIL - ESTIMATE,Field,Fundraising,Fundraising,Fundraising,1,1,,
0.001119504,"$708,622.33",LIST RENTAL,Administrative,Fundraising,Fundraising,Administrative,0,0,,
0.001109486,"$9,686,742.00",MAILHOUSE,Field,Administrative,Field,Fundraising,0,0,,
0.001079432,"$525,748.26",CANVASSERS,Field,Field,Field,Field,1,1,,
0.001059396,"$56,703.24",FOOD,Administrative,Administrative,Administrative,Administrative,1,1,,
0.00103936,"$8,075,166.94",MAILER,Administrative,Administrative,Administrative,Fundraising,0,0,,
0.001004298,"$16,366.49",CAR RENTAL,Administrative,Travel,Travel,Administrative,1,1,,
0.000974244,"$2,196,760.27",VIDEO PRODUCTION,Media,Digital,Media,Media,1,1,,
0.000974244,"$1,071,966.85",RADIO AD PLACEMENT,Media,Media,Media,Media+Digital,1,1,,
0.00087156,"$29,109.17",DISTRIBUTION OF LITERATURE,Administrative,Field,Field,Administrative,0,0,,
0.000864047,"$50,277.25",BOOTH RENTAL,Administrative,Field,Field,Administrative,0,0,,
0.000846515,"$93,218.45",HOTEL,Administrative,Travel,Travel,Administrative,1,1,,
0.000836497,"$60,429,511.54",MEDIA PLACEMENT/PRODUCTION,Media,Media,Media,Media,1,1,,
0.000833993,"$3,069,419.11",CANVASSING EXPENSES,Field,Field,Field,Field,1,1,,
0.000828984,"$26,240.14",VAN RENTAL,Administrative,Travel,Travel,Administrative,1,1,,
0.000828984,"$28,939.24",WAGES,Administrative,Administrative,Administrative,Administrative,1,1,,
0.000783903,"$406,286.17",NEWSPAPER AD,Media,Media,Media,Media,1,1,,
0.000773885,"$4,449,854.92",TELEVISION AD,Media,Media,Media,Media,1,1,,
0.000758858,"$10,278,285.02",ONLINE ADVERTISING - ESTIMATE,Digital,Digital,Digital,Digital,1,1,,
0.000746336,"$24,962.75",MEALS,Administrative,Administrative,Administrative,Administrative,1,1,,
0.000738822,"$14,176,153.32",DIGITAL ADVERTISING,Digital,Digital,Digital,Digital,1,1,,
0.000713778,"$1,333,617.71",AD PRODUCTION,Media,Media+Digital,Media,Digital+Media,0.5,0,,
0.000713778,"$14,312,671.88",RADIO ADVERTISING,Media,Media,Media,Media+Digital,1,1,,
0.000708769,"$386,250.22",FUNDRAISING PHONE CALLS (EST),Field,Fundraising,Fundraising,Administrative+Fundraising,0.5,0,,
0.000706264,"$4,698,930.51",STAFF SALARIES,Administrative,Administrative,Administrative,Administrative,1,1,,
0.000681219,"$1,729,018.65",VOTER CANVASS LITERATURE,Field,Field,Field,Field,1,1,,
0.000678715,"$2,511,359.00",MEDIA PRODUCTION COSTS,Media,Media,Media,Media,1,1,,
0.000673706,"$1,304,348.07",DOOR HANGERS,Administrative,Field,Field,Field,1,1,,
0.000671201,"$1,050,592.46",DIGITAL MEDIA PRODUCTION/PLACEMENT,Digital,Digital,Digital,Digital+Media,1,1,,
0.000651166,"$1,187,224.84",TELEPHONE VOTER CONTACT,Administrative,Field,Field,Field,1,1,,
0.000646157,"$380,377.50",CONSULTING SERVICES,Consulting,Consulting,Consulting,Consulting,1,1,,
0.000646157,"$246,585,721.74",TV / MEDIA PLACEMENT,Media,Media,Media,Media,1,1,,
0.000628625,"$338,271.18",POSTCARDS,Administrative,Administrative,Administrative,Fundraising,0,0,,
0.000606085,"$3,830,344.27",TV/MEDIA PRODUCTION,Media,Media,Media,Media,1,1,,
0.000598571,"$19,006,437.98",CANVASSING SERVICES,Field,Field,Field,Field,1,1,,
0.000596067,"$1,302,916.01",STAFF SALARY,Administrative,Administrative,Administrative,Administrative,1,1,,
0.000588554,"$502,343.52",VOTER CONTACT,Polling,Field,Field,Field,1,1,,
