Purpose Code,Final Estimate
MEDIA BUY,media
MEDIA,media
MEDIA PLACEMENT,media
TV / MEDIA PLACEMENT,media
TELEVISION ADVERTISING,media
TV/MEDIA PLACEMENT,media
TV AD BUY (ESTIMATE),media
MEDIA PLACEMENT/PRODUCTION,media
MEDIA BUY TV,media
MEDIA BUY; ALSO SUPPORTS MITT ROMNEY,media
MEDIA TV ADVERTISING BUY,media
DIGITAL MEDIA MARKETING REVENUE SHARING,digital
TV ADVERTISING,media
DIRECT MAIL,fundraising
MEDIA PLACEMENT - BROADCAST/CABLE,media
ONLINE ADVERTISING,digital
MEDIA BUY - ESTIMATE,media
TV AD AIR BUY PRODUCTION COSTS,media
TV AD BUY,media
MEDIA PRODUCTION,media
TV/MEDIA PLACEMENT / RADIO PLACEMENT,media
DIGITAL AD BUY (ESTIMATE),digital
CANVASSING SERVICES,field
TV ADVERTISING BUY,media
ADVERTISING - TV,media
TV ADVERTISING - MEDIA BUYS,media
MEDIA TIME BUY,media
RADIO ADVERTISING,media
DIGITAL ADVERTISING,digital
TELEVISION AD BUY,media
ADVERTISING-TV PLACEMENT (NEW IDEAS),media
DIRECT MAIL SERVICES,fundraising
ADVERTISING-TV PLACEMENT (TICK TOCK),media
MEDIA PLACEMENT - BROADCAST/CABLE/SATELLITE,media
DIRECT MAIL COSTS,fundraising
TV BUY,media
TELEVISION ADS,media
ADVERTISING,media
DIRECT MAIL - ESTIMATE,fundraising
WEB ADS,digital
LABOR AND POSTAGE FOR MAILPIECE,administrative
BANK OTHER TRADING ASSEST,legal
ONLINE ADVERTISING - ESTIMATE,digital
FOCUS GROUPS MEDIA PRODUCTION AND MEDIA PLACEMENT,media
TELEVISION ADVERTISING - ESTIMATE,media
TELEVISION ADVERTISEMENT,media
INTERNET ADVERTISING,digital
ADVERTISING-TV PLACEMENT (REPLACE),media
POSTAGE,administrative
PHONE CALLS,administrative
CANVASSING,field
MAILHOUSE,administrative
DIGITAL ADVERTISING - ESTIMATE,digital
MEDIA - TV ADVERTISEMENT PLACEMENT.,media
PAC MEDIA BUY,media
TV AD AIR BUY,media
FIELD CANVASS CONSULTING,field
TELEVISION ADVERTISEMENT - NATIONALLY DISTRIBUTED,media
MEDIA BUY; ALSO OPPOSES MITT ROMNEY,media
TV AD COSTS,media
ADVERTISING-TV PLACEMENT (STILL BELIEVE),media
MEDIA PLACEMENT-ALSO OPPOSE KASICH RUBIO AND CHRISTIE,media
MAILER,administrative
TELEVISION ADVERTISING - MEDIA PLACEMENT,media
NATIONAL CABLE MEDIA BUY ON FOX NEWS CHANNEL,media
SURVEY RESEARCH,field
SALES TAX,administrative
TELEVISION ADVERTISING; ALSO SUPPORTS NEWT GINGRICH,media
MEDIA PLACEMENT - ALSO OPPOSES RUBIO,media
MAILING,administrative
VOTER CONTACT MAIL,field
SALARY AND BENEFITS,administrative
MEDIA PRODUCTION AND PLACEMENT,media
MAIL SERVICES,administrative
MEDIA BUY AND PRODUCTION,media
RADIO AD BUY,media
TV AD,media
RADIO AD BUY (ESTIMATE),media
MEDIA PRODUCTION COSTS - ESTIMATE,media
TV MEDIA SCHEDULE,media
RADIO PLACEMENT,media
MEDIA PURCHASE,media
MEDIA BUY DIGITAL,media
TV AD BUY & PRODUCTION COSTS,media
POSTAGE / PRINTING / PRODUCTION,administrative
VOTER CONTACT PHONES: SYSTEM & PERSONNEL,field
RADIO ADS,media
RADIO ADVERTISING AND PRODUCTION; ALSO SUPPORTS NEWT GINGRICH,media
TV & INTERNET ADS,media
TELEVISION ADVERTISING BUY,media
TV RADIO & DIGITAL ADS,media
MEDIA BUY AND PRODUCTION (ALSO OPPOSES JOE BACA),media
MEDIA PLACEMENT AND PRODUCTION,media
ADVERTISING-TV PLACEMENT (VOTED FOR),media
DOOR TO DOOR VOTER CONTACT,field
MEDIA PLACEMENT - ALSO OPPOSES KASICH AND RUBIO,media
RADIO AD,media
