,Purpose Code,Categorization
830,RADIO ADVERTISING: PLACEMENT,media
1212,STAFF TIME FOR WEBPAGE SETUP,digital
23,BUS TOUR TRAVEL EXPENSE,travel
2286,TELEVISION ADVERTISING OF 'DECISIONS',media
483,IE-BANKS-DIRECT MAIL PRODUCTION,fundraising
285,MEDIA PALCEMENT,media
993,PHONES - EQUIPMENT,administrative
4875,PRINT 4 COLOR POSTCARD,administrative
95,DIGITAL COMMUNICATIONS,digital
4339,MEDIA PLACEMENT-ALSO OPPOSE BUSH AND CLINTON,media
852,VOTER CONTACT MAIL (ALSO OPPOSES ROMNEY),field
6489,PR,media
89,E MARKETING,digital
744,CAMPAIGN ACCOUNTING,legal
650,JFC ACCOUNTING COMPLIANCE SERVICES,legal
1513,ESTIMATED COST FOR QUALITY CONTROL COORD. SERVICES 4/13-4/20,consulting
6550,PHOTOGRAPHY/VIDEOGRAPHY-ESTIMATED COSTS,media
213,STRATEGY CONSULTING,consulting
1549,10/27 TO 11/4 RADIO ADVERTISING,media
2039,CATHERINE AGAINST NEVADA DIGITAL CONTENT (EXCEEDED $10K ON 9/15/2016),digital
7949,TELEMARKETING SERVICES - CALLS ON 10/21/2010,fundraising
2269,ADDITIONAL BUSINESS REPLY MAIL POSTAGE,administrative
779,AUDIO VISUAL CHARGES,media
912,IE-FLAKE-ONLINE ADS,digital
4433,BILLBOARD,media
3578,PAYROLL TAXES FOR GROUND CAMPAIGN,administrative
5148,GAS FOR FIELD VAN #1,travel
342,DOOR TO DOOR CANVASS,field
3431,MEDIA PRODUCTION-ALSO OPPOSE CRUZ,media
291,DIGITAL FUNDRAISING CONSULTING,consulting
979,PAC TRANSPORTATION,travel
6411,ESTIMATE OF JUNE MONTHLY PHONE OUTREACH FEES,field
5654,DIGITAL MEDIA PRODUCTION/PLACEMENT - VIRGINIA,digital
172,PAC SOFTWARE,digital
3115,WEB AD PLACEMENT (EARLY VOTING),digital
7436,ESTIMATE: VBM MAILERS,media
3028,IE-MACK-FIELD STAFF,field
136,"DIGITAL ADVERTISING SUPPORTING RON JOHNSON, GIVE AND TAKE, MAY 25 - JUNE 13.",digital
4794,6/18 TO 6/21 RADIO AND TELEVISION ADVERT,media
5227,MEDIA BUY - WI - 11/4/12,media
34,MEDIA PLACEMENT-ALSO OPPOSES TRUMP/AD CHANGE,media
4391,MAP BOOKS FOR CANVASSING (ALSO OPPOSES J.D. WINTEREGG AND ERIC GURR),field
6568,ESTIMATE: STAFF FOOD AND GAS REIMBURSEMENTS,travel
7290,"RADIO PRODUCTION: WRITING/PRODUCING/EDITING/VOICE-OVER, ETC  - 'NAME FOR HIMSELF'",media
4569,BALLOONS FOR EVENT,administrative
2672,TELEVISION PRODUCTION AND FILM  COSTS,media
7040,IE-LILJENQUIST-ONLINE ADS,digital
1034,PHONE CALL FEES,administrative
6623,EVENT FACILITY RENTAL,administrative
1971,AFSCME FOR HILLARY T-SHIRTS,field
2311,GRAPHIC DESIGN FEE,digital
374,ESTIMATE OF DECEMBER MONTHLY FACEBOOK ADVERTISING,digital
893,CANVASSING  PHONE BANKING  ESTIMATE,polling
6015,CARD DESIGN,administrative
869,BANKING FEES,legal
1959,PRODUCTION OF MAIL AND POSTAGE (VVHI201),administrative
798,LEGAL FEES FOR PAC,legal
4333,DIRECT MAIL - PRODUCTION & PRINTING,fundraising
2408,RADIO ADS TO BEGIN 10/22/2014,media
2495,RADIO AND EMAIL ADVERTISING,digital
3983,PRINT AND MAIL CAMPAIGN MATERIALS,fundraising
5789,DOOR HANGER -- MICHIGAN; ALSO OPPOSES BARACK OBAMA,field
7216,AERIAL AD 2,media
436,BILLBOARD ADVERTISING - ESTIMATE,media
6210,IE-JOHNSON-YARD SIGNS,field
2323,AUDIO BOOKS,misc
